Xi,Lambda,Omega,Simga,Delta,Theta
1.0619867656129535e-05,0.0002707842013041953,0.423321248160864,4.719941180502015e-06,0.0002731441718944463,0.4233177082049786
1.6757969709558794e-06,4.263188770709271e-05,0.044870400136927946,7.447986537581685e-07,4.3004287033971797e-05,0.04486984153793763
3.549577560620349e-07,8.911230106438816e-06,0.007155800055431345,1.577590026942377e-07,8.990109607785935e-06,0.007155681736179325
8.850485074243012e-08,2.164496080807509e-06,0.001438710951456114,3.933548921885782e-08,2.184163825416938e-06,0.0014386814498391998
2.437682166830439e-08,5.729821857773075e-07,0.0003341418090607116,1.0834142963690838e-08,5.783992572591529e-07,0.0003341336834534888
7.153311670072062e-09,1.5943037196240237e-07,8.518648890170428e-05,3.179249631143137e-09,1.6101999677797396e-07,8.518410446448093e-05
2.1868263837551886e-09,4.559800274595642e-08,2.306430881448223e-05,9.719228372245281e-10,4.608396416456868e-08,2.3063579872354313e-05
6.865691236942916e-10,1.3220080391254884e-08,6.4792536509699715e-06,3.051418327530184e-10,1.3372651307631393e-08,6.479024794595407e-06
2.1944595626927388e-10,3.858443515364092e-09,1.8555023202785506e-06,9.753153611967726e-11,3.90720928342393e-09,1.855429171626461e-06
7.11140974485718e-11,1.1350879835359925e-09,5.339862334798969e-07,3.1606265532698567e-11,1.150891116302342e-09,5.339625287807473e-07
